demo_gender,demo_age,demo_under_30,demo_senior_citizen,demo_married,demo_dependents,demo_number_of_dependents,loc_city,loc_zip_code,loc_latitude,loc_longitude,svc_referred_a_friend,svc_number_of_referrals,svc_tenure_in_months,svc_offer,svc_phone_service,svc_avg_monthly_long_distance_charges,svc_multiple_lines,svc_internet_service,svc_internet_type,svc_avg_monthly_gb_download,svc_online_security,svc_online_backup,svc_device_protection_plan,svc_premium_tech_support,svc_streaming_tv,svc_streaming_movies,svc_streaming_music,svc_unlimited_data,svc_contract,svc_paperless_billing,svc_payment_method,svc_monthly_charge,svc_total_charges,svc_total_refunds,svc_total_extra_data_charges,svc_total_long_distance_charges,svc_total_revenue,st_satisfaction_score,st_customer_status,churn_flag,st_cltv,st_churn_category,st_churn_reason,zip_population
Male,77,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.40000000000003,2617.4500000000003,2,Churned,1,2212,Competitor,Competitor made better offer,34902
Female,70,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1,Churned,1,4149,Competitor,Competitor made better offer,34902
Female,74,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39000000000001,3,Churned,1,2671,Other,Don't know,34902
Female,77,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,No,0,21,No offer,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,1,Churned,1,4778,Competitor,Competitor made better offer,34902
Male,71,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,No,0,27,No offer,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,1,Churned,1,2927,Competitor,Competitor made better offer,34902
Male,79,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,Yes,1,11,No offer,Yes,29.54,No,No,No internet service,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,1,Churned,1,5888,Competitor,Competitor made better offer,34902
Female,66,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,Churned,1,5502,Competitor,Competitor made better offer,34902
Male,77,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,1,Churned,1,2818,Competitor,Competitor made better offer,34902
Female,80,No,Yes,No,No,0,Thermal,92274,33.53604,-116.119222,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,2,Churned,1,4902,Dissatisfaction,Network reliability,17018
Female,77,No,Yes,No,No,0,Riverside,92509,34.004379,-117.447864,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,2,Churned,1,4099,Dissatisfaction,Limited range of services,63999
Female,77,No,Yes,No,No,0,Hemet,92544,33.644585,-116.871544,No,0,20,No offer,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.5999999999999,2837.0,1,Churned,1,2666,Competitor,Competitor had better devices,39264
Female,72,No,Yes,Yes,No,0,Moreno Valley,92557,33.970661,-117.255039,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.79999999999998,563.6,1,Churned,1,5273,Dissatisfaction,Product dissatisfaction,46214
Female,80,No,Yes,Yes,No,0,Perris,92571,33.828289,-117.201666,Yes,2,27,No offer,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,1,Churned,1,4517,Attitude,Attitude of support person,26357
Female,74,No,Yes,No,No,0,Anaheim,92807,33.848733,-117.788357,No,0,4,No offer,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,1,Churned,1,5808,Competitor,Competitor had better devices,36301
Female,68,No,Yes,No,No,0,Brea,92823,33.924143,-117.79387,No,0,1,No offer,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,1,Churned,1,4880,Competitor,Competitor had better devices,1408
Female,78,No,Yes,Yes,No,0,Yorba Linda,92887,33.884073,-117.732197,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.3500000000001,7981.75,1,Churned,1,4196,Attitude,Attitude of support person,20893
Male,75,No,Yes,Yes,No,0,Summerland,93067,34.420998,-119.60137,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,Churned,1,5059,Competitor,Competitor made better offer,576
Male,77,No,Yes,Yes,No,0,Santa Barbara,93101,34.419203,-119.710008,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,Churned,1,2728,Competitor,Competitor made better offer,31727
Male,80,No,Yes,Yes,No,0,Alpaugh,93201,35.869626,-119.498771,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999,1,Churned,1,6268,Competitor,Competitor offered higher download speeds,1054
Male,75,No,Yes,Yes,No,0,Camp Nelson,93208,36.057458,-118.591951,Yes,7,20,No offer,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.19999999999999,2005.8500000000001,1,Churned,1,5604,Competitor,Competitor had better devices,191
Female,69,No,Yes,No,No,0,Delano,93215,35.772244,-119.209689,No,0,2,No offer,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,2,Churned,1,2065,Attitude,Attitude of support person,37280
Female,74,No,Yes,No,No,0,Fellows,93224,35.215731,-119.57013,No,0,8,No offer,Yes,27.95,No,No,No internet service,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,2,Churned,1,5432,Attitude,Attitude of support person,626
Male,76,No,Yes,No,No,0,Temecula,92592,33.507255,-117.029473,No,0,52,No offer,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,2,Churned,1,5597,Competitor,Competitor made better offer,46171
Male,69,No,Yes,No,No,0,San Diego,92129,32.961064,-117.134917,No,0,2,No offer,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,2,Churned,1,3475,Competitor,Competitor made better offer,47224
Male,72,No,Yes,Yes,No,0,San Diego,92129,32.961064,-117.134917,Yes,1,33,No offer,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,3,Churned,1,4333,Other,Poor expertise of online support,47224
Female,69,No,Yes,No,No,0,San Diego,92129,32.961064,-117.134917,No,0,30,No offer,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,1,Churned,1,2482,Competitor,Competitor made better offer,47224
Male,73,No,Yes,No,No,0,San Diego,92129,32.961064,-117.134917,No,0,20,No offer,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,3,Churned,1,5444,Competitor,Competitor made better offer,47224
Female,65,No,Yes,No,No,0,Biola,93606,36.798882,-120.019511,No,0,46,No offer,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02000000000001,4983.820000000001,1,Churned,1,2403,Competitor,Competitor made better offer,807
Male,74,No,Yes,Yes,No,0,Selma,93662,36.545322,-119.642281,Yes,1,7,No offer,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,3,Churned,1,3265,Competitor,Competitor made better offer,26213
Female,65,No,Yes,No,No,0,Squaw Valley,93675,36.719141,-119.202677,No,0,4,No offer,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,3,Churned,1,5301,Other,Moved,3146
Female,66,No,Yes,No,No,0,Fresno,93706,36.654614,-119.903674,No,0,55,No offer,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,Churned,1,5679,Competitor,Competitor offered higher download speeds,35790
Male,71,No,Yes,Yes,No,0,Jolon,93928,35.930782,-121.189757,Yes,1,20,No offer,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,1,Churned,1,5849,Competitor,Competitor had better devices,254
Male,65,No,Yes,No,No,0,San Francisco,94102,37.7795,-122.419233,No,0,9,No offer,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,1,Churned,1,4038,Competitor,Competitor had better devices,28998
Male,69,No,Yes,No,No,0,San Francisco,94108,37.791998,-122.408653,No,0,10,No offer,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25,1,Churned,1,3189,Competitor,Competitor had better devices,13723
Male,75,No,Yes,Yes,No,0,San Francisco,94114,37.758085,-122.434801,No,0,1,No offer,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47,2,Churned,1,4369,Price,Price too high,30587
Female,75,No,Yes,No,No,0,San Francisco,94130,37.820894,-122.369725,No,0,3,No offer,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0,125.69999999999999,330.75,1,Churned,1,3501,Dissatisfaction,Product dissatisfaction,1458
Female,68,No,Yes,No,No,0,Palo Alto,94304,37.386978,-122.177746,No,0,4,No offer,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.82000000000005,1,Churned,1,2467,Competitor,Competitor had better devices,1723
Male,71,No,Yes,No,No,0,Birds Landing,94512,38.140719,-121.838298,No,0,35,No offer,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,1,Churned,1,2074,Other,Don't know,138
Male,80,No,Yes,No,No,0,Byron,94514,37.83323,-121.601461,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39000000000001,2,Churned,1,5900,Other,Don't know,10153
Male,66,No,Yes,No,No,0,Fremont,94539,37.516791,-121.899117,No,0,8,No offer,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0,92.56,924.9100000000001,1,Churned,1,5084,Competitor,Competitor had better devices,46917
Male,73,No,Yes,Yes,No,0,Livermore,94550,37.571748,-121.659562,Yes,2,44,No offer,No,0.0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,1,Churned,1,4829,Competitor,Competitor had better devices,75929
Male,77,No,Yes,Yes,No,0,Napa,94558,38.489789,-122.27011,Yes,1,62,No offer,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,1,Churned,1,5052,Competitor,Competitor had better devices,63947
Female,76,No,Yes,Yes,No,0,Pleasanton,94566,37.633361,-121.862395,Yes,1,33,No offer,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,2,Churned,1,3601,Competitor,Competitor offered more data,36669
Female,65,No,Yes,No,No,0,San Ramon,94583,37.766556,-121.976784,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,2,Churned,1,5419,Competitor,Competitor made better offer,44078
Male,75,No,Yes,Yes,No,0,Pleasanton,94588,37.685052,-121.912061,Yes,1,27,No offer,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,2180.15,1,Churned,1,2377,Competitor,Competitor had better devices,28568
Male,75,No,Yes,No,No,0,Berkeley,94704,37.871416,-122.246597,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,1,Churned,1,5906,Attitude,Attitude of support person,21205
Female,68,No,Yes,Yes,No,0,Berkeley,94707,37.897753,-122.279391,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,1,Churned,1,4486,Attitude,Attitude of support person,11889
Female,71,No,Yes,No,No,0,Berkeley,94710,37.872902,-122.303708,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,1,Churned,1,5662,Competitor,Competitor had better devices,8157
Male,74,No,Yes,No,No,0,Greenbrae,94904,37.946617,-122.563571,No,0,14,No offer,Yes,11.31,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0,158.34,1424.4399999999998,3,Churned,1,4777,Competitor,Competitor offered more data,12010
Male,77,No,Yes,No,No,0,Forest Knolls,94933,38.010092,-122.689442,No,0,12,No offer,No,0.0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,1,Churned,1,2437,Competitor,Competitor had better devices,1025
Female,73,No,Yes,No,No,0,Freedom,95019,36.936228,-121.785559,No,0,13,No offer,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0,524.81,1465.1599999999999,1,Churned,1,2995,Competitor,Competitor had better devices,4753
Female,68,No,Yes,No,No,0,Gilroy,95020,37.03889,-121.528955,No,0,11,No offer,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,1091.26,2,Churned,1,2202,Attitude,Attitude of support person,49968
Male,74,No,Yes,Yes,No,0,Los Gatos,95030,37.222842,-121.988727,Yes,1,17,No offer,Yes,28.18,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0,479.06,2101.51,3,Churned,1,5508,Competitor,Competitor offered more data,13290
Male,65,No,Yes,Yes,No,0,San Jose,95128,37.316146,-121.936285,Yes,1,39,No offer,Yes,33.25,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55,3,Churned,1,4687,Attitude,Attitude of support person,32804
Female,73,No,Yes,Yes,No,0,San Jose,95135,37.28682,-121.723877,Yes,5,11,No offer,Yes,17.25,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,0.0,0,189.75,1323.4,3,Churned,1,4553,Competitor,Competitor offered more data,15798
Female,74,No,Yes,Yes,No,0,Glencoe,95232,38.358464,-120.579304,Yes,1,3,Offer E,Yes,3.29,No,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,0.0,0,9.870000000000001,233.92000000000002,2,Churned,1,3834,Attitude,Attitude of service provider,21
Male,80,No,Yes,No,No,0,Columbia,95310,38.085839,-120.37855,No,0,21,No offer,Yes,34.62,No,Yes,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0.0,0,727.02,1963.17,1,Churned,1,4716,Competitor,Competitor had better devices,2144
Female,76,No,Yes,No,No,0,Escondido,92027,33.141265,-116.967221,No,0,16,No offer,Yes,38.75,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,0.0,0,620.0,2149.2,2,Churned,1,5913,Other,Don't know,48690
